port_code,port_name,city,country
NOHJJ,Hjelset,Hjelset,Norway
NOHJL,Hjelmeland,Hjelmeland,Norway
NOHJO,Hjørungavåg,Hjorungavag,Norway
NOHKR,Helle - Kragerø,Helle - Kragero,Norway
NOHLB,Høylandsbygda,Hoylandsbygda,Norway
NOHLE,Helle - Forsand,Helle - Forsand,Norway
NOHLL,Høllen,Hollen,Norway
NOHLS,Halsa,Halsa,Norway
NOHME,Hemne,Hemne,Norway
NOHMS,Hemnes,Hemnes,Norway
NOHMV,Hummelvik,Hummelvik,Norway
NOHMY,Hamarøy,Hamaroy,Norway
NOHNE,Hemnesberget,Hemnesberget,Norway
NOHOA,Holla,Holla,Norway
NOHOF,Hof,Hof,Norway
NOHOG,Høgset,Hogset,Norway
NOHOK,Hommelvik,Hommelvik,Norway
NOHOL,Holmestrand,Holmestrand,Norway
NOHOO,Horsøy,Horsoy,Norway
NOHOR,Horten,Horten,Norway
NOHOT,Hanøytangen,Hanoytangen,Norway
NOHOY,Husøy - Tønsberg,Husoy - Tonsberg,Norway
NOHRD,Harstad,Harstad,Norway
NOHRI,Hareid,Hareid,Norway
NOHRO,Herøy,Heroy,Norway
NOHRR,Herre,Herre,Norway
NOHRS,Harøysundet,Haroysundet,Norway
NOHRV,Hordvik,Hordvik,Norway
NOHRY,Herøya,Heroya,Norway
NOHSA,Halsa Meløy,Halsa Meloy,Norway
NOHSL,Hovland,Hovland,Norway
NOHSO,Husøy - Karmøy,Husoy - Karmoy,Norway
NOHSS,Husøy - Lenvik,Husoy - Lenvik,Norway
NOHSV,Hausvikstrand,Hausvikstrand,Norway
NOHSY,Hellesylt,Hellesylt,Norway
NOHUD,Hundeidvika,Hundeidvika,Norway
NOHUR,Hurum,Hurum,Norway
NOHUS,Husnes,Husnes,Norway
NOHVA,Hvaler,Hvaler,Norway
NOHVG,Honningsvåg,Honningsvag,Norway
NOHVI,Håvik,Havik,Norway
NOHVK,Hasvik,Hasvik,Norway
NOHVS,Hvasser,Hvasser,Norway
NOHYL,Hyllestad,Hyllestad,Norway
NOHYR,Høyanger,Hoyanger,Norway
NOIBE,Ibestad,Ibestad,Norway
NOIDR,Inndyr,Inndyr,Norway
NOIGE,Igerøy,Igeroy,Norway
NOIGL,Iglandsvik,Iglandsvik,Norway
NOIKA,Vikan,Vikan,Norway
NOIKR,Ikornnes,Ikornnes,Norway
NOIND,Inderøy,Inderoy,Norway
NOINN,Innhavet,Innhavet,Norway
NOINV,Innvik,Innvik,Norway
NOISY,Ingøy,Ingoy,Norway
NOJAN,Jakobsnes,Jakobsnes,Norway
NOJEL,Jelsa,Jelsa,Norway
NOJON,Jondal,Jondal,Norway
NOJOS,Jøssingfjord,Jossingfjord,Norway
NOJOV,Jøvik,Jovik,Norway
NOJOY,Jarlsøy,Jarlsoy,Norway
NOKAB,Kabelvåg,Kabelvag,Norway
NOKAF,Kåfjord,Kafjord,Norway
NOKAH,Kårvikhamn,Karvikhamn,Norway
NOKAN,Kalvneset,Kalvneset,Norway
NOKAR,Kårstø,Karsto,Norway
NOKAY,Karlsøy,Karlsoy,Norway
NOKBV,Kobbvågen,Kobbvagen,Norway
NOKDF,Kaldfjord,Kaldfjord,Norway
NOKDL,Kvanndal,Kvanndal,Norway
NOKGF,Kongsfjord,Kongsfjord,Norway
NOKIA,Kvithylla,Kvithylla,Norway
NOKIL,Kilvik,Kilvik,Norway
NOKIR,Kirkehamn,Kirkehamn,Norway
NOKIV,Kinsarvik,Kinsarvik,Norway
NOKJB,Kjørebonn,Kjorebonn,Norway
NOKJE,Kjerringøy,Kjerringoy,Norway
